session_id,image_path,image_group,frame_id,detection_id,source_type,class_id,class_name,confidence,old_status,new_status,old_reject_reason,new_reject_reason,original_class_id,original_class_name,new_class_id,new_class_name,corrected_class_id,corrected_class_name,class_corrected_by_color,correction_reason,color_correction_score,review_candidate,review_reason,mask_density,mask_area,box_area,red_ratio,orange_ratio,warm_ratio,green_yellow_ratio,bbox_x,bbox_y,bbox_w,bbox_h,promoted_by_policy,promotion_reason,heuristic_type,anchor_detection_id,anchor_bunch_class,anchor_bunch_confidence,child_detection_ids,child_count,weak_child_count,strong_child_count,weighted_child_count,ripe_evidence_score,unripe_evidence_score,dominant_maturity,heuristic_score,bbox_source
session_20260630_103628,images_ok_raw/ok_20260630_103844_000067.jpg,images_ok_raw,67,4,model,2,unripe,0.812868,weak,review,weak/noise conf 0.81<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.638889,4416.0,6146.435547,0.0,0.115942,0.115942,0.913043,787.59375,112.398438,91.34375,67.289062,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103845_000068.jpg,images_ok_raw,68,1,model,2,unripe,0.90123,weak,color_corrected,weak/noise bad_color gy=0.02,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.9684219999999999,False,,0.719697,12160.0,14670.583984,0.284211,0.7,0.984211,0.015789,533.6875,1.8125,166.0625,88.34375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103845_000068.jpg,images_ok_raw,68,3,model,2,unripe,0.834406,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.711538,9472.0,11223.842773,0.0,0.0,0.0,1.0,834.375,319.8125,99.90625,112.34375,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103846_000069.jpg,images_ok_raw,69,4,model,2,unripe,0.912434,weak,color_corrected,weak/noise bad_color gy=0.04,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.955285,False,,0.691877,15808.0,20422.021484,0.300813,0.699187,1.0,0.044715,530.8125,143.6875,162.96875,125.3125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103846_000069.jpg,images_ok_raw,69,5,model,2,unripe,0.831142,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.521212,5504.0,8138.818848,0.0,0.104651,0.104651,0.953488,517.84375,243.921875,106.28125,76.578125,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103846_000069.jpg,images_ok_raw,69,6,model,2,unripe,0.827826,weak,review,weak/noise conf 0.83<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.804762,10816.0,12468.494141,0.0,0.0,0.0,1.0,825.5,490.90625,108.6875,114.71875,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103847_000070.jpg,images_ok_raw,70,4,model,2,unripe,0.920793,weak,color_corrected,weak/noise bad_color gy=0.04,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.958159,False,,0.746875,15296.0,19030.375,0.297071,0.698745,0.995816,0.037657,528.0625,335.007812,159.34375,119.429688,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103847_000070.jpg,images_ok_raw,70,5,model,2,unripe,0.849971,weak,review,weak/noise conf 0.85<0.85,near_threshold_unripe_color_mask_support,2,unripe,2,unripe,,,False,,,True,near_threshold_unripe_color_mask_support,0.55,6336.0,9614.746094,0.0,0.083333,0.083333,0.9375,511.6875,421.15625,109.375,87.90625,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103848_000071.jpg,images_ok_raw,71,4,model,2,unripe,0.929948,weak,color_corrected,weak/noise bad_color gy=0.06,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.9297529999999999,False,,0.72619,15616.0,19354.058594,0.330579,0.661157,0.991736,0.061983,527.375,334.882812,160.625,120.492188,False,,,,,,,,,,,,,,,
session_20260630_103628,images_ok_raw/ok_20260630_103849_000072.jpg,images_ok_raw,72,1,model,2,unripe,0.871477,strong,color_corrected,,unripe_to_ripe_by_mask_color,2,unripe,1,ripe,1,ripe,True,unripe_to_ripe_by_mask_color,0.8851680000000001,False,,0.83004,13440.0,15284.077148,0.4689,0.516746,0.985646,0.100478,386.0625,634.671875,181.3125,84.296875,False,,,,,,,,,,,,,,,
