image_path,image_group,frame_id,model_detection_count,model_strong_count,model_weak_count,model_noise_count,new_strong_count,new_review_count,new_color_corrected_count,new_weak_count,new_noise_count,heuristics_count,old_policy_debug_path,new_policy_debug_path,heuristics_only_debug_path,comparison_debug_path
images_weak_noise_raw/weak_20260630_103737_000028.jpg,images_weak_noise_raw,157,12,0,8,4,0,2,0,6,4,1,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000157_weak_20260630_103737_000028.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000157_weak_20260630_103737_000028.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000157_weak_20260630_103737_000028.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000157_weak_20260630_103737_000028.jpg
images_weak_noise_raw/weak_20260630_103739_000029.jpg,images_weak_noise_raw,158,9,0,7,2,0,0,0,7,2,1,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000158_weak_20260630_103739_000029.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000158_weak_20260630_103739_000029.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000158_weak_20260630_103739_000029.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000158_weak_20260630_103739_000029.jpg
images_weak_noise_raw/weak_20260630_103740_000030.jpg,images_weak_noise_raw,159,19,0,9,10,0,0,0,9,10,0,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000159_weak_20260630_103740_000030.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000159_weak_20260630_103740_000030.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000159_weak_20260630_103740_000030.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000159_weak_20260630_103740_000030.jpg
images_weak_noise_raw/weak_20260630_103742_000031.jpg,images_weak_noise_raw,160,25,0,12,13,0,0,0,12,13,1,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000160_weak_20260630_103742_000031.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000160_weak_20260630_103742_000031.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000160_weak_20260630_103742_000031.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000160_weak_20260630_103742_000031.jpg
images_weak_noise_raw/weak_20260630_103743_000032.jpg,images_weak_noise_raw,161,21,0,14,7,0,0,0,14,7,1,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000161_weak_20260630_103743_000032.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000161_weak_20260630_103743_000032.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000161_weak_20260630_103743_000032.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000161_weak_20260630_103743_000032.jpg
images_weak_noise_raw/weak_20260630_103745_000033.jpg,images_weak_noise_raw,162,14,0,11,3,0,0,1,10,3,1,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000162_weak_20260630_103745_000033.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000162_weak_20260630_103745_000033.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000162_weak_20260630_103745_000033.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000162_weak_20260630_103745_000033.jpg
images_weak_noise_raw/weak_20260630_103746_000034.jpg,images_weak_noise_raw,163,22,0,12,10,0,0,1,11,10,1,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000163_weak_20260630_103746_000034.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000163_weak_20260630_103746_000034.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000163_weak_20260630_103746_000034.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000163_weak_20260630_103746_000034.jpg
images_weak_noise_raw/weak_20260630_103748_000035.jpg,images_weak_noise_raw,164,25,0,19,6,0,0,1,18,6,1,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000164_weak_20260630_103748_000035.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000164_weak_20260630_103748_000035.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000164_weak_20260630_103748_000035.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000164_weak_20260630_103748_000035.jpg
images_weak_noise_raw/weak_20260630_103749_000036.jpg,images_weak_noise_raw,165,22,0,17,5,0,0,4,13,5,2,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000165_weak_20260630_103749_000036.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000165_weak_20260630_103749_000036.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000165_weak_20260630_103749_000036.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000165_weak_20260630_103749_000036.jpg
images_weak_noise_raw/weak_20260630_103751_000037.jpg,images_weak_noise_raw,166,15,0,10,5,0,1,3,6,5,0,policy_replay_lab/outputs/session_20260630_103628/analysis/old_policy_debug/frame_000166_weak_20260630_103751_000037.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/new_policy_debug/frame_000166_weak_20260630_103751_000037.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/heuristics_only_debug/frame_000166_weak_20260630_103751_000037.jpg,policy_replay_lab/outputs/session_20260630_103628/analysis/comparison_debug/frame_000166_weak_20260630_103751_000037.jpg
